Applaud.	Pumalakpak.
I was amazed by the design and architectures of the houses.	Namangha ako sa disenyo at arkitekto ng mga bahay.
I was bored with the monotony of daily life.	Nabagot ako sa walang pagbabago sa aking pang araw-araw na buhay.
I was confined in a room which was like a matchbox.	Nakakulong ako sa kwarto na parang kahon ng posporo.
I was resting in the garden when it started to rain.	Nagpapahinga ako sa harden nang biglang bumuhos ang ulan.
I was thinking you might help me with this problem.	Iniisip ko na maaaring matulungan mo ako sa problemang ito.
I was watching TV while Barbara was reading a book.	Nanonood ako ng TV habang nagbabasa si Barbara ng libro.
I went straight to the third floor to share the news.	Dumiretso ako sa ikatlong palapag upang ibahagi ang balita.
I will go to my idol's concer next week.	Pupunta ako sa concert ng aking idolo sa susunod na linggo.
I will never forget the memories that we shared together.	Hindi ko makakalimutan ang mga alaala na pinagsaluhan nating dalawa.
I wish you many happy returns of your name day.	Hinahangad ko na maraming saya na ibalik ang iyong kaarawan.
I would like to give him a present for his birthday.	Gusto ko syang bigyan ng regalo sa kanyang kaarawan.
I wouldn't be too surprised if Tom didn't show up on time.	Hindi na ako magugulat kung mahuli si Tom.
I wrote 3 different itineraries for our trip.	Nagsulat ako ng 3 iba't ibang mga itineraryo para sa aming paglalakbay.
I'll give you his address, so go to him.	Ibibigay ko sa inyo ang address niya, kaya puntahan nyo sya.
I'll go to Hokkaido next month with my friend.	Sa susunod na buwan, papuntang Hokkaido akong kasama ang kaibigan ko.
I'll race the miserable donkey any day in the week.	Makikipagkarera ako kahit anong araw sa nakakainis na asno .
I'm flustered when the baby decides not to nap.	Nagiging balisa ako kapag ang sanggol ay nagpasiya na hindi matulog.
I'm not sure why they were forced to close the restaurant.	Di ako sigurado kung bakit sila'y pinasara ang restawran.
I'm so happy to debut my version of Zach's design.	Ikinagagalak kong ipakita ang aking bersyon ng disenyo ni Zach.
I'm taking my father's ashes to the sacred river.	Dadalhin ko ang abo ni aking ama sa banal na ilog.
I've got enough problems of my own, so back off!	Marami na akong mga personal na problema, kaya lumayo ka!
If doesn't mean that if you're alone, you're lonely.	Hindi ibig sabihin na kapag ika'y mag isa, malungkot ka na.
If he didn't spend every day at the farm.	Kung sakaling hindi niya ginugugol ang bawat araw niya sa bukid.
If interested, send your resume to this email address.	Kung interesado, ipadala ang iyong resume sa email address na ito.
If it hadn't been raining, we would have gone to the park.	Kung hindi lang umuulan, pupunta kami sa parke.
If that's what you're looking for, then you'll find it here.	Kung iyon ang hinahanap mo, mahahanap mo iyon dito.
If we can reach out to the movement of Christianity.	Kung tayo lamang ay makakaabot sa kilusang Kristyanismo sa paligid.
If we miss the train, we'll go by bus.	Pag hindi natin naabutan ang tren, uuwi tayo sakay ng bus.
If you are buying nineteen times in nineteen hours,.	Kung bumibili ka ng labing-siyam na beses sa labing-siyam na oras,.
If you are crying thirty-nine times in thirty-nine days,.	Kung umiiyak ka ng tatlumpu't-siyam na beses sa tatlumpu't-siyam na araw,.
If you are crying twenty-four times in twenty-four minutes,.	Kung umiiyak ka ng dalawampu't-apat na beses sa dalawampu't-apat na minuto,.
If you are crying twenty-nine times in twenty-nine minutes,.	Kung umiiyak ka ng dalawampu't-siyam na beses sa dalawampu't-siyam na minuto,.
If you are crying twenty-nine times in twenty-nine months,.	Kung umiiyak ka ng dalawampu't-siyam na beses sa dalawampu't-siyam na buwan,.
If you are eating forty-six times in forty-six months,.	Kung kumakain ka ng apatnapu't-anim na beses sa apatnapu't-anim na buwan,.
If you are eating fourteen times in fourteen months,.	Kung kumakain ka ng labing-apat na beses sa labing-apat na buwan,.
If you are going to copy him, take notes regularly.	Kung gagayahin mo siya, kumuha ka ng mga tala palagi.
If you are going to imitate him, take notes regularly.	Kung gagayahin mo siya, kumuha ka ng mga tala palagi.
If you are investigating nineteen times in nineteen hours,.	Kung nagmamasid ka ng labing-siyam na beses sa labing-siyam na oras,.
If you are investigating sixteen times in sixteen years,.	Kung nagmamasid ka ng labing-anim na beses sa labing-anim na taon,.
If you are laughing forty-nine times in forty-nine years,.	Kung tumatawa ka ng apatnapu't-siyam na beses sa apatnapu't-siyam na taon,.
If you are laughing fourteen times in fourteen years,.	Kung tumatawa ka ng labing-apat na beses sa labing-apat na taon,.
If you are laughing six times in six months,.	Kung tumatawa ka ng anim na beses sa anim na buwan,.
If you are losing thirty-six times in thirty-six years,.	Kung natatalo ka ng tatlumpu't-anim na beses sa tatlumpu't-anim na taon,.
If you are running four times in four years,.	Kung tumatakbo ka ng apat na beses sa apat na taon,.
If you are running twenty-six times in twenty-six months,.	Kung tumatakbo ka ng dalawampu't-anim na beses sa dalawampu't-anim na buwan,.
If you are selling six times in six months,.	Kung nagbebenta ka ng anim na beses sa anim na buwan,.
If you are selling sixteen times in sixteen minutes,.	Kung nagbebenta ka ng labing-anim na beses sa labing-anim na minuto,.
If you are sitting nine times in nine hours,.	Kung umuupo ka ng siyam na beses sa siyam na oras,.
If you are sleeping forty-four times in forty-four minutes,.	Kung natutulog ka ng apatnapu't-apat na beses sa apatnapu't-apat na minuto,.
If you are sleeping four times in four years,.	Kung natutulog ka ng apat na beses sa apat na taon,.
If you are sleeping thirty-four times in thirty-four minutes,.	Kung natutulog ka ng tatlumpu't-apat na beses sa tatlumpu't-apat na minuto,.
If you are smiling nine times in nine years,.	Kung nakangiti ka ng siyam na beses sa siyam na taon,.
If you are waiting sixteen times in sixteen minutes,.	Kung naghihintay ka ng labing-anim na beses sa labing-anim na minuto,.
If you are winning forty-nine times in forty-nine hours,.	Kung nananalo ka ng apatnapu't-siyam na beses sa apatnapu't-siyam na oras,.
If you have grievances, pay your superiors a visit.	Kung mayroon kang mga karaingan, bisitahin mo ang iyong mga superyor.
If you lose that discipline, I will call your manager.	Kung mawalan ka ng disiplina, tatawagan ko ang iyong tagapamahala.
If you want me to help Tom, I'll help him.	Kung gusto mong tulungan ko si Tom, tutulungan ko siya.
If you're afraid of losing then, you don't deserve to win.	Kung natatakot kang matalo, hindi ka karapat-dapat na manalo.
Immediately AFTER THE TRIBULATION of those.	Datapuwat karakarakang PAGKATAPOS NG KAPIGHATIAN sa mga araw na yaon ay magdidilim ang araw.
Immersing myself at work gives me a sense of purpose.	Ang pagtututok sa trabaho ay nagbibigay sa akin ng kabuluhan.
In a few days the beautiful spring will be here.	Ilang araw na lang at darating na ang napakagandang tagsibol.
In a few minutes they had forgotten about the birds.	Ilang minuto lang ay nakalimutan na nila ang mga ibon.
In a year you will learn to know yourself.	Paglipas ng isang taon ay matututunan mong alamin ang sarili mo.
In forty seconds, you become someone I don't know.	Sa loob ng apatnapung segundo, ika'y naging 'di ko na kilala.
In my life, I have gone on many memorable trips.	Sa aking buhay, nakaranas ako ng maraming malilimot na biyahe.
In my situation, I just follow my usual habits.	Sa aking sitwasyon, sinusunod ko lamang ang aking karaniwang mga gawi.
In scorching sun, he was like a patch of shade.	Sa ilalim ng mainit na araw, isa syang malaking lilim.
In the end, we compromised to avoid further conflicts.	Sa huli, nagkompromiso kami upang maiwasan ang higit pang mga salungatan.
In the Philippines, forests are cut down carelessly.	Sa Pilipinas, ang mga kahoy sa kagubatan ay pinuputol nang walang ingat.
In which corner of this room is my paper hidden?	Saang sulok ng silid na ito nakatago ang papel ko?
It can be found in all types of tetrapods.	Ito ay matatagpuan sa lahat ng mga klase ng mga tetrapod.
It can be found in all types of tetrapods.	Ito ay matatagpuan sa lahat ng mga klase ng mga tetrapod.
It can be removed through the cell membrane incision.	Maaari itong matanggal sa pamamagitan ng inbaginasyon ng membrano ng selula.
It could have been a year or a century ago.	Maaaring isang taon o siglo na ang nakalipas mula noon.
It finally dawned on me what Tom meant.	Napagtanto ko rin sa wakas kung ano ang ibig sabihin ni Tom.
It is a reality that some say we should accept.	Isang reyalidad na sabi ng ilan ay dapat nating matanggap.
It is actually okay to copy from novels or books.	Pwede ngang kumuha mula sa mga nobela o mga libro.
It is difficult to have a conversation if he does not listen.	Mahirap makipag-usap kung hindi naman nakikinig ang kausap.
It is essential that some kind of compromise be reached between Pyongyang and Washington.	Kailangang magkasundo ang Pyongyang at Washington.
It is no use blaming him for the accident now.	Wala ng magagawa ang paninisi mo sa kanya sa aksidente.
It is not allowed to take out the equipment from the classroom.	Hindi maaaring ilabas ang mga kagamitan sa silid-aralan.
It is not allowed to take out the equipment from the laboratory.	Hindi maaaring ilabas ang mga kagamitan sa laboratoryo.
It is not allowed to take out the equipment from the library.	Hindi maaaring ilabas ang mga kagamitan sa silid-aklatan.
It is not allowed to take out the equipment from the room.	Hindi maaaring ilabas ang mga kagamitan sa silid.
It is not allowed to take out the equipment from the room.	Hindi maaaring ilabas ang mga kagamitan sa kwarto.
It is only natural to share your accomplishments with others.	Natural lamang na ibahagi ang inyong mga nakamit sa iba.
It is too easy to sleep but it's too hard to wake up.	Ang daling matulong pero ang hirap bumangon.
It is too soon for him to see a field of battle.	Masyado pang maaga upang makakita siya ng digmaan.
It is valuable for me to hear what you are thinking.	Mahalaga para sa akin na marinig ang iyong iniisip.
It looks as though we shall have to go without a holiday this year.	Mukhang hindi tayo magbabakasyon ngayong taon.
It might end up being for the best of the majority.	Ito ay maaaring maging para sa ikabubuti ng karamihan.
It was a fine day but the air was unusually pure.	Isang magandang araw ngunit kakaiba ang pagka-linis ng araw.
It was a long time back, before they were married.	Matagal na panahon na iyon noong bago pa sila ikinasal.
It was definitely Tom that I saw yesterday in the park.	Si Tom talaga ang nakita ko kahapon sa parke.
It was now more than seventy-two hours after the kidnapping.	Pitumpu't dalawang oras na ang nakalipas noong siya ay dinukot.
It was the best time of the year for the chase.	Ito ang pinakamagandang panahon ng taon para sa paghahabol.
It was too late when he learned there was a second page.	Huli na nang malaman niyang may pangalawang pahina.
It was too late when she learned there was a second page.	Huli na nang malaman niyang may pangalawang pahina.
It was very peaceful and the sea water was crystal clear.	Napakatahimik dito at malinaw na malinaw ang tubig dagat.
It won't be long before we can travel to Mars.	Hindi na ganun katagal upang makapaglakbay na tayo papuntang Mars.
It's a good thing our supervisor is like an angel.	Mabuti na lang at ang aming superbisor ay parang anghel.
It's always better to be kind than to be right.	Laging mas mainam na maging mabait kaysa sa maging tama.
It's faster to think of sentences than to look for one.	Mas mabilis pang mag-isip ng mga pangungusap kaysa maghanap.
It's prohibited to drink alcohol on public places starting tomorrow.	Bawal nang uminom nang alak sa pampublikong lugar simula bukas.
It's so hard to resist the food at my workplace.	Napakahirap na iwasan ang pagkain sa aking lugar ng trabaho.
It's so much greater than we've been led to believe.	Ito ay mas dakila kaysa anumang bagay na napaniwala tayo.
John has been looking for a job since he graduated.	Naghahanap si John ng trabaho simula nang siya ay grumaduate.
John said that he had never eaten sushi before.	Sinabi ni John na hindi pa siya nakakakain ng sushi dati.
Journalists should include quotes from actual witnesses.	Dapat isama ng mga mamamahayag ang mga binanggit ng mga tunay na saksi.
Julie spent a million dollars on travel expenses.	Gumastos si Julie ng isang milyong dolyar sa mga gastusin sa paglalakbay.
Just now they are talking about you and your father.	Pinag-uusapan inila ikaw at ang iyong ama ngayon ngayon lamang.
Just place an order and get ready for the trip.	Maglagay lamang ng isang order at maghanda para sa biyahe.
Just the outside of it is very nice to look at.	Sa labas pa lang nito ay napakagandang ng pagmasdan.
Knowledge on commerce is handy when running a business.	Ang kaalaman sa komersyo ay kapaki-pakinabang kapag nagpapatakbo ng isang negosyo.
Kristine had never been to an opera before last night.	Hindi pa nakakapunta si Kristine sa isang opera bago kagabi.
Late in March 1841, his cold turned into pneumonia.	Sa bandang dulo ng Marso 1841, naging pulmonya ang sipon niya.
Later, the jolting of the plane awakened her with a start.	Mayamaya pa ay nagising siya sa pag-alog ng eroplano.
Learning is knowledge, and knowledge is freedom and power.	Ang pagkatuto ayb kaalaman, at ang kaalaman ay kalayaan at kapangyarihan.
Let me copy your answer to the second question in math.	Pakopya ng sagot mo sa ikalawang tanong sa math.
Let us all stand and sing the Philippine national anthem.	Magsi-tayo tayong lahat at awitin ang pambansang awit ng Pilipinas.
Let's play hide and seek and I hope you'll find me.	Laro tayo ng tagu-taguan at sana mahanap mo ako.
Let's see who comes first, and who comes last.	Tingnan natin kung sino ang mauuna, at kung sino ang mahuhuli.
Listen to the intimation of the poet from the modern way.	Makinig sa pahiwatig ng makatang galing sa modernong paraan.
Live your life forwards, don't be fast, and make it slow.	Mamumuhay ka ng diretso,huwag magmadali, gawin mo itong hinay-hinay.
