$3.5 million.	$3.5 milyon.
The cucumber is bitter.	Mapait ang pipino.
The cucumber is black.	Itim ang pipino.
The cucumber is bland.	Matabang ang pipino.
The cucumber is blue.	Asul ang pipino.
The cucumber is blue.	Bughaw ang pipino.
The cucumber is brown.	Kayumanggi ang pipino.
The cucumber is cold.	Malamig ang pipino.
The cucumber is colorful.	Makulay ang pipino.
The cucumber is cooked.	Luto ang pipino.
The cucumber is costly.	Magastos ang pipino.
The cucumber is dead.	Patay ang pipino.
The cucumber is delicious.	Masarap ang pipino.
The cucumber is destroyed.	Wasak ang pipino.
The cucumber is different.	Iba ang pipino.
The cucumber is dirty.	Madumi ang pipino.
The cucumber is dusty.	Maalikabok ang pipino.
The cucumber is effective.	Mabisa ang pipino.
The cucumber is elusive.	Mailap ang pipino.
The cucumber is expensive.	Mahal ang pipino.
The cucumber is famous.	Sikat ang pipino.
The cucumber is fresh.	Sariwa ang pipino.
The cucumber is green.	Berde ang pipino.
The cucumber is green.	Luntian ang pipino.
The cucumber is hard.	Matigas ang pipino.
The cucumber is healthy.	Malusog ang pipino.
The cucumber is heavy.	Mabigat ang pipino.
The cucumber is holy.	Banal ang pipino.
The cucumber is hot.	Mainit ang pipino.
The cucumber is illegal.	Ilegal ang pipino.
The cucumber is inadequate.	Kulang ang pipino.
The cucumber is juicy.	Makatas ang pipino.
The cucumber is long.	Mahaba ang pipino.
The cucumber is natural.	Natural ang pipino.
The cucumber is new.	Bago ang pipino.
The cucumber is orange.	Kahel ang pipino.
The cucumber is perfect.	Perpekto ang pipino.
The cucumber is prohibited.	Bawal ang pipino.
The cucumber is rare.	Bihira ang pipino.
The cucumber is raw.	Hilaw ang pipino.
The cucumber is red.	Pula ang pipino.
The cucumber is reserved.	Laan ang pipino.
The cucumber is ripe.	Hinog ang pipino.
The cucumber is salty.	Maalat ang pipino.
The cucumber is shiny.	Makintab ang pipino.
The cucumber is slippery.	Madulas ang pipino.
The cucumber is small.	Maliit ang pipino.
The cucumber is soft.	Malambot ang pipino.
The cucumber is sour.	Maasim ang pipino.
The cucumber is special.	Espesyal ang pipino.
The cucumber is spicy.	Maanghang ang pipino.
The cucumber is sticky.	Malagkit ang pipino.
The cucumber is strange.	Kakaiba ang pipino.
The cucumber is sweet.	Matamis ang pipino.
The cucumber is thick.	Makapal ang pipino.
The cucumber is thirsty.	Uhaw ang pipino.
The cucumber is ugly.	Pangit ang pipino.
The cucumber is unripe.	Hilaw ang pipino.
The cucumber is valuable.	Mahalaga ang pipino.
The cucumber is weird.	Kakaiba ang pipino.
The cucumber is wet.	Basa ang pipino.
The cucumber is white.	Puti ang pipino.
The cucumber is whole.	Buo ang pipino.
The cucumber is withered.	Lanta ang pipino.
The cucumber is yellow.	Dilaw ang pipino.
The dawn is breaking.	Bukang-liwayway na.
The day is ours.	Atin ang araw na ito.
The dead will rise.	Ang patay ay babangon.
The deer has a mark.	May marka ang usa.
The deer is dead.	Patay ang usa.
The deer is electrocuted.	Nakuryente ang usa.
The deer is good looking.	May itsura ang usa.
The deer looks alive.	Mukhang buhay ang usa.
The deer runs.	Tumatakbo ang usa.
The deer wakes up.	Nagising ang usa.
The desert is vast.	Malawak ang disyerto.
The design is ready.	Handa na po ang disenyo.
The details.	Ang mga detalye.
The doctor is not here yet.	Wala pa ang doktor.
The doctor is strange.	Ang doktor ay kakaiba.
The dog ate bread.	Kumain ng tinapay ang aso.
The dog ate dust.	Kumain ng alikabok ang aso.
The dog ate meat.	Kumain ng karne ang aso.
The dog barks.	Kumakahol ang aso.
The dog barks.	Ang aso ay tumatahol.
The dog bought gas.	Bumili ng gas ang aso.
The dog calmed down.	Kumalma na ang aso.
The dog came back.	Bumalik ang aso.
The dog did laundry.	Naglaba ang aso.
The dog drank beer.	Uminom ng serbesa ang aso.
The dog drank vinegar.	Uminom ng suka ang aso.
The dog escaped.	Tumakas ang aso.
The dog farted.	Umutot ang aso.
The dog fell.	Nahulog ang aso.
The dog gargled.	Nagmumog ang aso.
The dog got fired.	Nasisante ang aso.
The dog got tired.	Napagod ang aso.
The dog has a cold.	May sipon ang aso.
The dog has a garden.	May hardin ang aso.
The dog has a sickness.	May sakit ang aso.
The dog has a statue.	May rebulto ang aso.
The dog has debt.	May utang ang aso.
The dog has no strength.	Walang lakas ang aso.
The dog hated vomit.	Galit sa suka ang aso.
The dog hid the bone.	Tinago ng aso ang buto.
The dog is a chief.	Isang hepe ang aso.
The dog is a colonel.	Isang koronel ang aso.
The dog is a general.	Isang heneral ang aso.
The dog is a genius.	Isang henyo ang aso.
The dog is a machine.	Isang makina ang aso.
The dog is a sergeant.	Isang sarhento ang aso.
The dog is an angel.	Isang anghel ang aso.
The dog is barking.	Tumatahol ang aso.
The dog is blind.	Bulag ang aso.
The dog is brave.	Matapang ang aso.
The dog is calming down.	Kumakalma na ang aso.
The dog is coughing.	Umuubo ang aso.
The dog is dancing.	Sumasayaw ang aso.
The dog is deaf.	Bingi ang aso.
The dog is doing well on the exam.	Ang aso ay nakakasagot ng mabuti sa exam.
The dog is drunk.	Lasing ang aso.
The dog is dusty.	Maalikabok ang aso.
The dog is eating you.	Kinakain ka ng aso.
The dog is excited.	Nasasabik ang aso.
The dog is fat.	Mataba ang aso.
The dog is fatty.	Mataba ang aso.
The dog is growing.	Lumalaki ang aso.
The dog is hungry.	Gutom ang aso.
The dog is muddy.	Maputik ang aso.
The dog is mute.	Pipi ang aso.
The dog is nervous.	Kinakabahan ang aso.
The dog is ours.	Amin ang aso.
The dog is poisoned.	Nalason ang aso.
The dog is quiet.	Tahimik ang aso.
The dog is scared.	Takot ang aso.
The dog is scary.	Nakakatakot ang aso.
The dog is sick.	Maysakit ang aso.
The dog is spitting.	Dumudura ang aso.
The dog is standing.	Tumatayo ang aso.
The dog is still slow.	Mabagal parin ang aso.
The dog is studious.	Palaaral ang aso.
The dog is tired.	Pagod ang aso.
The dog is watching you.	Pinanunuod ka ng aso.
The dog is watching.	Nanunuod ang aso.
The dog is wearing.	Nakasuot ang aso.
The dog is wet.	Basa ang aso.
The dog is whispering.	Bumubulong ang aso.
The dog laughed at me.	Tinawanan ako ng aso.
The dog made a sound.	Gumawa ng tunog ang aso.
The dog made me happy.	Pinasaya ako ng aso.
The dog passed out.	Nahimatay ang aso.
The dog set the buttons.	Ang aso ay nag-ayos ng butones.
The dog still sleeps.	Natutulog parin ang aso.
The dog tripped.	Nadapa ang aso.
The dog vomited.	Sumuka ang aso.
The dog wants food.	Gusto ng aso ng pagkain.
The dog was barking.	Tumatahol yung aso.
The dog was fired.	Sinisante ang aso.
The dog was hopeful.	Umaasa ang aso.
The dog was hoping.	Umaasa ang aso.
The dog will be remembered.	Maaalala ang aso.
The dogs are angry.	Galit ang mga aso.
The dogs are friendly.	Mababait ang mga aso.
The door is big.	Malaki ang pinto.
The door is brown.	Ang pinto ay kulay brown.
The door is closed.	Sarado ang pinto.
The door is closing.	Ang pinto ay sasara na.
The door is huge.	Malaki ang pinto.
The door is large.	Malaki ang pinto.
The door is open.	Bukas ang pinto.
The door was closed.	Sinarado ang pinto.
The door was opened.	Binuksan ang pinto.
The door.	Ang pinto.
The doorway.	Ang pintuan.
The dove is flying.	Lumilipad and kalapati.
The dove is white.	Maputi ang kalapati.
The dragonfly knew it!	Alam ng tutubi!
The dragonfly wakes up.	Nagising ang tutubi.
The dried fish is so salty.	Ang alat ng tuyo.
The duck got a tie.	Nagtabla ang bibe.
The duck is nervous.	Natatakot ang bibe.
The ducks return home.	Umuwi ang mga bibe.
The durian is appropriate.	Akma ang duryan.
The durian is beautiful.	Maganda ang duryan.
The durian is bent.	Baluktot ang duryan.
The durian is big.	Malaki ang duryan.
The durian is bitter.	Mapait ang duryan.
The durian is black.	Itim ang duryan.
The durian is bland.	Matabang ang duryan.
The durian is blue.	Asul ang duryan.
The durian is blue.	Bughaw ang duryan.
The durian is brown.	Kayumanggi ang duryan.
The durian is cold.	Malamig ang duryan.
The durian is colorful.	Makulay ang duryan.
The durian is cooked.	Luto ang duryan.
The durian is costly.	Magastos ang duryan.
The durian is dead.	Patay ang duryan.
The durian is delicious.	Masarap ang duryan.
The durian is destroyed.	Wasak ang duryan.
The durian is different.	Iba ang duryan.
The durian is dirty.	Madumi ang duryan.
The durian is dusty.	Maalikabok ang duryan.
The durian is effective.	Mabisa ang duryan.
The durian is elusive.	Mailap ang duryan.
The durian is expensive.	Mahal ang duryan.
The durian is famous.	Sikat ang duryan.
The durian is fresh.	Sariwa ang duryan.
The durian is green.	Berde ang duryan.
The durian is green.	Luntian ang duryan.
The durian is hard.	Matigas ang duryan.
The durian is healthy.	Malusog ang duryan.
The durian is heavy.	Mabigat ang duryan.
The durian is holy.	Banal ang duryan.
The durian is hot.	Mainit ang duryan.
The durian is illegal.	Ilegal ang duryan.
The durian is inadequate.	Kulang ang duryan.
The durian is juicy.	Makatas ang duryan.
The durian is long.	Mahaba ang duryan.
The durian is natural.	Natural ang duryan.
The durian is new.	Bago ang duryan.
The durian is orange.	Kahel ang duryan.
The durian is perfect.	Perpekto ang duryan.
The durian is prohibited.	Bawal ang duryan.
The durian is rare.	Bihira ang duryan.
The durian is raw.	Hilaw ang duryan.
The durian is red.	Pula ang duryan.
The durian is reserved.	Laan ang duryan.
The durian is ripe.	Hinog ang duryan.
The durian is salty.	Maalat ang duryan.
The durian is shiny.	Makintab ang duryan.
The durian is slippery.	Madulas ang duryan.
The durian is small.	Maliit ang duryan.
The durian is soft.	Malambot ang duryan.
The durian is sour.	Maasim ang duryan.
The durian is special.	Espesyal ang duryan.
The durian is spicy.	Maanghang ang duryan.
The durian is sticky.	Malagkit ang duryan.
The durian is strange.	Kakaiba ang duryan.
The durian is sweet.	Matamis ang duryan.
The durian is tasteless.	Matabang ang duryan.
The durian is thick.	Makapal ang duryan.
The durian is thirsty.	Uhaw ang duryan.
The durian is ugly.	Pangit ang duryan.
The durian is unripe.	Hilaw ang duryan.
The durian is valuable.	Mahalaga ang duryan.
The durian is weird.	Kakaiba ang duryan.
The durian is wet.	Basa ang duryan.
The durian is white.	Puti ang duryan.
The durian is whole.	Buo ang duryan.
The durian is withered.	Lanta ang duryan.
The durian is yellow.	Dilaw ang duryan.
The eagle hate you.	Ayaw ka ng agila.
The eagle keep sabbath.	Nagsisimba ang agila.
The eagles are all dead.	Patay ang mga agila.
The eagles are mine!	Aking ang mga agila!
The earth is big.	Malaki ang daigdig.
The earth is not round.	Hindi bilog ang mundo.
The earth is round.	Bilog ang mundo.
The Earth is round.	Ang mundo ay bilog.
The eggplant is appropriate.	Akma ang talong.
The eggplant is beautiful.	Maganda ang talong.
The eggplant is bent.	Baluktot ang talong.
The eggplant is big.	Malaki ang talong.
The eggplant is bitter.	Mapait ang talong.
The eggplant is black.	Itim ang talong.
The eggplant is bland.	Matabang ang talong.
The eggplant is blue.	Asul ang talong.
The eggplant is blue.	Bughaw ang talong.
The eggplant is brown.	Kayumanggi ang talong.
The eggplant is cold.	Malamig ang talong.
The eggplant is colorful.	Makulay ang talong.
The eggplant is cooked.	Luto ang talong.
The eggplant is costly.	Magastos ang talong.
The eggplant is dead.	Patay ang talong.
The eggplant is delicious.	Masarap ang talong.
The eggplant is destroyed.	Wasak ang talong.
The eggplant is different.	Iba ang talong.
The eggplant is dirty.	Madumi ang talong.
The eggplant is dusty.	Maalikabok ang talong.
The eggplant is effective.	Mabisa ang talong.
The eggplant is elusive.	Mailap ang talong.
The eggplant is expensive.	Mahal ang talong.
The eggplant is famous.	Sikat ang talong.
The eggplant is fresh.	Sariwa ang talong.
The eggplant is green.	Berde ang talong.
The eggplant is green.	Luntian ang talong.
The eggplant is hard.	Matigas ang talong.
The eggplant is healthy.	Malusog ang talong.
The eggplant is heavy.	Mabigat ang talong.
The eggplant is holy.	Banal ang talong.
The eggplant is hot.	Mainit ang talong.
The eggplant is illegal.	Ilegal ang talong.
The eggplant is inadequate.	Kulang ang talong.
The eggplant is juicy.	Makatas ang talong.
The eggplant is long.	Mahaba ang talong.
The eggplant is natural.	Natural ang talong.
The eggplant is new.	Bago ang talong.
The eggplant is orange.	Kahel ang talong.
The eggplant is perfect.	Perpekto ang talong.
The eggplant is prohibited.	Bawal ang talong.
The eggplant is rare.	Bihira ang talong.
The eggplant is raw.	Hilaw ang talong.
The eggplant is red.	Pula ang talong.
The eggplant is reserved.	Laan ang talong.
The eggplant is ripe.	Hinog ang talong.
The eggplant is salty.	Maalat ang talong.
The eggplant is shiny.	Makintab ang talong.
The eggplant is slippery.	Madulas ang talong.
The eggplant is small.	Maliit ang talong.
The eggplant is soft.	Malambot ang talong.
The eggplant is sour.	Maasim ang talong.
The eggplant is special.	Espesyal ang talong.
The eggplant is spicy.	Maanghang ang talong.
The eggplant is sticky.	Malagkit ang talong.
The eggplant is strange.	Kakaiba ang talong.
The eggplant is sweet.	Matamis ang talong.
The eggplant is thick.	Makapal ang talong.
The eggplant is thirsty.	Uhaw ang talong.
The eggplant is ugly.	Pangit ang talong.
The eggplant is unripe.	Hilaw ang talong.
The eggplant is valuable.	Mahalaga ang talong.
The eggplant is weird.	Kakaiba ang talong.
The eggplant is wet.	Basa ang talong.
The eggplant is white.	Puti ang talong.
The eggplant is whole.	Buo ang talong.
The eggplant is withered.	Lanta ang talong.
The eggplant is yellow.	Dilaw ang talong.
The eggs are broken.	Basag ang mga itlog.
The eighth of August.	Ikawalo ng Agosto.
The elect is Israel.	Ang hinirang ay Israel.
The end is near.	Malapit na ang katapusan.
The end of the world.	Ang katapusan ng mundo.
The end times.	Kawakasan ng panahon.
The engine is noisy.	Ang makina ay maingay.
The entire world.	Buong mundo.
The exam is difficult.	Mahirap ang pagsusulit.
The exam is easy.	Madali ang pagsusulit.
The exam is hard.	Mahirap ang pagsusulit.
The exam is long.	Mahaba ang pagsusulit.
The exam is long.	Ang pagsusulit ay mahaba.
The exam was difficult.	Ang hirap ng exam.
The faucet is dripping.	Ang gripo ay tumutulo.
The fifth of May.	Ikalima ng Mayo.
The fight is fair.	Patas ang laban.
The fight is not fair.	Hindi patas ang laban.
The file is missing.	Nawawala ang file.
The fire is burning.	Lumiliyab ang apoy.
The firefly is happy.	Masaya ang alitaptap.
The firefly is leading.	Lamang ang alitaptap.
The firefly is scared.	Takot ang alitaptap.
The firefly sets off.	Umalis ang alitaptap.
The first of January.	Ikauna ng Enero.
The fish are dying.	Ang mga isda ay namamatay.
The fish goes to school.	Pumapasok ang isda.
The fish has a brother.	May kapatid ang isda.
The fish is a demon.	Isang demonyo ang isda.
The fish smells.	Ang lansa ng isda.
The flag is rising.	Ang watawat ay itinataas.
The flag is up.	Ang watawat ay nakataas.
The flag was lowered.	Ibinaba ang watawat.
The flag was raised.	Itinaas ang watawat.
The flag will be lowered.	Ibababa ang watawat.
The flag will be raised.	Itataas ang watawat.
The flag.	Ang watawat.
The flies do like you.	Gusto ka ng mga langaw.
The flies looked back.	Lumingon ang langaw.
The flood is already deep.	Mataas na ang baha.
The flood is deep.	Mataas ang baha.
The floor is blue.	Ang sahig ay asul.
The floor is dirty.	Ang sahig ay marumi.
The floor is green.	Ang sahig ay berde.
The floor is red.	Ang sahig ay pula.
The floor is rough.	Ang sahig ay magaspang.
The floor is slippery.	Ang sahig ay madulaas.
The floor is sticky.	Ang sahig ay madikit.
The floor is wet.	Ang sahig ay basa.
The floor is white.	Ang sahig ay puti.
The flower wilted.	Nalanta na ang bulaklak.
The fly is dirty.	Madumi ang langaw.
The fly knew it!	Alam ng langaw!
The food is cheap.	Ang pagkain ay mura.
The food is delicious.	Masarap ang pagkain.
The food is delicious.	Ang sarap ng pagkain.
The food is delicious.	Ang pagkain ay masarap.
The food is delicious.	Masarap ang pagkain.
The food is tasty.	Ang pagkain ay malasa.
The food was delicious.	Ang pagkain ay masarap.
The food was tasty.	Ang pagkain ay malasa.
The forest is grassy.	Ang kagubatan ay madamo.
The fourth of April.	Ikaapat ng Abril.
The frog goes to school.	Pumapasok ang palaka.
The frog is a demon.	Isang demonyo ang palaka.
The frog is croaking.	Kumukokak ang palaka.
The fruits are fresh.	Sariwa ang prutas.
The funeral is tomorrow.	Ang burol ay bukas na.
The game still went on.	Nagpatuloy ang laro.
The garage is closed.	Ang garahe ay sarado.
The garlic is appropriate.	Akma ang bawang.
The garlic is beautiful.	Maganda ang bawang.
The garlic is bent.	Baluktot ang bawang.
The garlic is big.	Malaki ang bawang.
The garlic is bitter.	Mapait ang bawang.
The garlic is black.	Itim ang bawang.
The garlic is bland.	Matabang ang bawang.
The garlic is blue.	Asul ang bawang.
The garlic is blue.	Bughaw ang bawang.
The garlic is brown.	Kayumanggi ang bawang.
The garlic is cold.	Malamig ang bawang.
The garlic is colorful.	Makulay ang bawang.
The garlic is cooked.	Luto ang bawang.
The garlic is costly.	Magastos ang bawang.
The garlic is dead.	Patay ang bawang.
The garlic is delicious.	Masarap ang bawang.
The garlic is destroyed.	Wasak ang bawang.
The garlic is different.	Iba ang bawang.
The garlic is dirty.	Madumi ang bawang.
The garlic is dusty.	Maalikabok ang bawang.
The garlic is effective.	Mabisa ang bawang.
The garlic is elusive.	Mailap ang bawang.
The garlic is expensive.	Mahal ang bawang.
