Good morning, he said.	Magandang umaga, sinabi niya.
She is asking about your kidney.	Kinakamusta niya ang bato mo.
She is asking about your lung.	Kinakamusta niya ang baga mo.
She is asking for blood.	Humihingi siya ng dugo.
She is asking for medicine.	Humihingi siya ng gamot.
She is better at studying.	Mas magaling siyang mag-aral.
She is brushing her hair.	Nagsusuklay siya ng kaniyang buhok.
She is buying a syringe.	Bumibili siya ng hiringgilya.
She is closing the window.	Sinasara niya ang bintana.
She is colder than cold.	Mas malamig pa siya sa malamig.
She is driving right now.	Siya ay nagmamaneho ngayon.
She is eating bitter food.	Kumakain siya ng mapait na pagkain.
She is eating salty food.	Kumakain siya ng maalat na pagkain.
She is eating sweet food.	Kumakain siya ng matamis na pagkain.
She is entering the clinic.	Pumapasok siya sa klinik.
She is experiencing asthma attack.	Inaatake siya ng hika.
She is fanning herself.	Nagpapaypay sya ng sarili niya.
She is feeling much better.	Mas mabuti ang pakiramdam niya.
She is feeling the same.	Pareho lang ang nararamdaman niya.
She is feeling worse.	Mas masama ang pakiramdam niya.
She is five years old.	Siya ay limang taong gulang.
She is following the dentist.	Sinusundan nila yung dentista.
She is following the doctor.	Sinusundan nila yung doktor.
She is following the nurse.	Sinusundan nila yung nurse.
She is following the surgeon.	Sinusundan nila yung siruhano.
She is from an attack.	Nanggaling siya sa atake.
She is giving her a blood test.	Kinukuhanan siya ng dugo.
She is giving her drugs.	Binibigyan siya ng droga.
She is giving her food.	Binibigyan niya siya ng pagkain.
She is giving her medicine.	Binibigyan siya ng gamot.
She is giving him a blood test.	Kinukuhanan siya ng dugo.
She is giving him drugs.	Binibigyan siya ng droga.
She is giving him food.	Binibigyan niya siya ng pagkain.
She is giving him medicine.	Binibigyan siya ng gamot.
She is giving them blood tests.	Kinukuhanan siya ng dugo.
She is giving them food.	Binibigyan niya siya ng pagkain.
She is giving them medicine.	Binibigyan siya ng gamot.
She is going to get tested.	Masusubukan na siya.
She is going to get vaccinated.	Babakanuhan siya.
She is going to the hospital.	Pupunta siya sa ospital.
She is going to the pharmacy.	Pupunta siya sa parmasya.
She is good at studying.	Magaling siyang mag-aral.
She is good in Math.	Magaling siya sa Matematika.
She is good in Science.	Magaling siya sa Agham.
She is happy with him.	Siya ay masaya na sa kanya.
She is in a wheelchair.	Nasa loob siya ng wheelchair.
She is in the laboratory.	Nasa loob siya ng laboratory.
She is inside an ambulance.	Nasa loob siya ng ambulansya.
She is inside the hospital.	Nasa loob siya ng ospital.
She is inside the pharmacy.	Nasa loob siya ng parmasya.
She is jogging for 1 minute.	Tumatakbo siya nang isang minuto.
She is jogging for 4 minutes.	Tumatakbo siya nang apat minuto.
She is learning nothing.	Wala siyang natututunan.
She is leaving the clinic.	Aalis siya sa klinik.
She is leaving the hospital.	Aalis siya sa ospital.
She is leaving the pharmacy.	Paalis siya ng parmasya.
She is limiting what he eats.	Hindi na siya madalas kumain.
She is living in his house.	Nakatira siya sa bahay niya.
She is living in their house.	Nakatira siya sa bahay nila.
She is looking after her.	Tinitingnan niya siya.
She is looking after him.	Tinitingnan niya siya.
She is looking after them.	Tinitingnan niya siya.
She is looking for a bandage.	Naghahanap siya ng bendahe.
She is looking for a female.	Babae ang hinahanap niya.
She is looking for a male.	Lalaki ang hinahanap niya.
She is looking for a man.	Lalaki ang hinahanap niya.
She is looking for a masseuse.	Naghahanap siya ng masahista.
She is looking for a prescription.	Naghahanap siya ng reseta.
She is looking for a syringe.	Naghahanap siya ng hiringgilya.
She is looking for a woman.	Babae ang hinahanap niya.
She is looking for blood.	Naghahanap siya ng dugo.
She is looking for medicine.	Hinahanap nila yung gamot.
She is looking for the dentist.	Hinahanap niya ang dentista.
She is looking for the doctor.	Hinahanap nila yung doktor.
She is looking for the nurse.	Hinahanap niya ang nurse.
She is looking for the nurse.	Hinahanap nila yung nurse.
She is more studious.	Mas masipag siyang mag-aral.
She is my dream girl.	Siya ang pinapangarap kong babae.
She is my younger sibling.	Siya ang nakakabata kong kapatid.
She is neither skinny nor fat.	Hindi siya mapayat o mataba.
She is not always happy.	Hindi siya masaya lagi.
She is not at school today.	Wala siya sa paaralan ngayon.
She is not eating anymore.	Hindi na siya kumakain.
She is not here at this moment.	Wala siya ngayon.
She is on a different level.	Siya ay nasa ibang antas.
She is on her way to her dentist.	Papunta na siya sa dentista.
She is on her way to her doctor.	Papunta na siya sa doktor.
She is on her way to his dentist.	Papunta na siya sa dentista.
She is on her way to his doctor.	Papunta na siya sa doktor.
She is on her way to my doctor.	Papunta na siya sa doktor ko.
She is on her way to the dentist.	Papunta na siya sa dentista.
She is on her way to the doctor.	Papunta na siya sa doktor.
She is picking up trash.	Nagpupulot siya ng basura.
She is praising the dentist.	Pinagpupuri nila yung dentista.
She is praising the doctor.	Pinagpupuri nila yung doktor.
She is praising the nurse.	Pinagpupuri nila yung nurse.
She is praising the surgeon.	Pinagpupuri nila yung siruhano.
She is proficient in French.	Magaling siya sa Pranses.
She is proficient in French.	Magaling siya sa Franses.
She is prohibited to drink milk.	Bawal siya uminom ng gatas.
She is putting it in the bag.	Nilalagay niya ito sa bag.
She is questioning the dentist.	Tinanong nila yung dentista.
She is questioning the doctor.	Tinatanong nila yung doktor.
She is questioning the hospital.	Tinatanong nila yung ospital.
She is questioning the nurse.	Tinatanong nila yung nurse.
She is questioning the surgeon.	Tinatanong nila yung siruhano.
She is raising his hand.	Nagtataas siya ng kamay.
She is raising his hand.	Nagtataas siya ng kanyang kamay.
She is really methodical.	Siya ay talagang sistematiko.
She is really systematic.	Siya ay talagang sistematiko.
She is riding an ambulance.	Nasa loob kami ng ambulansya.
She is searching for a clinic.	Naghahanap siya ng klinik.
She is sending her downstairs.	Pinapapunta siya sa baba.
She is sending her upstairs.	Pinapapunta siya sa taas.
She is sending him downstairs.	Pinapapunta siya sa baba.
She is sending him upstairs.	Pinapapunta siya sa taas.
She is short and slender.	Ang babae ay maliit at payat.
She is staying at my place.	Sya ay sa bahay ko nananatili.
She is staying with her family.	Kasama niya ang pamilya niya.
She is staying with his family.	Kasama niya ang pamilya niya.
She is staying with our family.	Kasama niya ang pamilya niya.
She is still at the hospital.	Nasa ospital pa rin siya.
She is still at the office.	Nasa opisina pa rin siya.
She is still brushing her teeth.	Nagsisipilyo pa rin siya.
She is still in the dentist.	Siya ay nasa dentista pa rin.
She is still laughing.	Siya ay tumatawa pa rin.
She is still taking a bath.	Naliligo pa rin siya.
She is strict with time.	Mahigpit siya sa oras.
She is studying medicine.	Nag-aaral siya ng medisina.
She is thanking the dentist.	Nagpapasalamat sila sa dentista.
She is thanking the doctor.	Nagpapasalamat sila sa doktor.
She is thanking the nurse.	Nagpapasalamat sila sa nurse.
She is thanking the surgeon.	Nagpapasalamat sila sa siruhano.
She is the best at studying.	Pinakamagaling siyang mag-aral.
She is the fifth in class.	Siya ang panglima sa klase.
She is the first in class.	Siya ang una sa klase.
She is the fourth in class.	Siya ang pang-apat sa klase.
She is the last in class.	Siya ang huli sa klase.
She is the last in class.	Siya ang dulo sa klase.
She is the most studious.	Pinakamasipag siyang mag-aral.
She is the second in class.	Siya ang pangalawa sa klase.
She is the third in class.	Siya ang pangatlo sa klase.
She is thinking he will live.	Sa tingin niya mabubuhay siya.
She is traveling now.	Siya ay naglalakbay ngayon.
She is trying to lose weight.	Siya ay nagpapapayat.
She is very good at studying.	Napakagaling niyang mag-aral.
She is very studious.	Napakasipag niyang mag-aral.
She is washing the dishes.	Hinuhugasan nya ang mga pinggan.
She is with him now.	Siya ay sumama na sa kanya.
She is with his patient.	Kasama niya ang kanyang pasyente.
She is writing it on paper.	Sinusulat niya ito sa papel.
She is writing on paper.	Nagsusulat siya sa papel.
She is writing on the blackboard.	Nagsusulat siya sa pisara.
She jogged for 1 minute.	Tumakbo siya nang isang minuto.
She jogged for 2 minutes.	Tumakbo siya nang dalawang minuto.
She jogged for 3 minutes.	Tumakbo siya nang tatlong minuto.
She jogged for 4 minutes.	Tumakbo siya nang apat minuto.
She jogged for 5 minutes.	Tumakbo siya nang limang minuto.
She just arrived here.	Kakarating niya lang dito.
She just arrived here.	Kararating niya lang dito.
She just leaned against me.	Sumandal siya sa akin.
She killed he own father.	Pinatay niya ang sarili niyang ama.
She killed herself yesterday.	nagpakamatay siya kahapon.
She knows he will live.	Alam niyang mabubuhay siya.
She left for Osaka yesterday.	pumunta siya pa-Osaka kahapon.
She left her food.	Nag-iwan siya ng pagkain para sa kanya.
She left him food.	Nag-iwan siya ng pagkain para sa kanya.
She left his medicine.	Naiwan niya ang gamot niya.
She left the clinic early.	Umalis siya sa klinik ng maaga.
She left the hospital early.	Umalis siya sa ospital ng maaga.
She left them food.	Nag-iwan siya ng pagkain para sa kanya.
She likes another man.	Gusto niya ng ibang lalaki.
She listened to her dentist.	Nakinig siya sa dentista niya.
She listened to her doctor.	Nakinig siya sa doktor niya.
She listened to her nurse.	Nakinig siya sa nurse niya.
She listened to his dentist.	Nakinig siya sa dentista niya.
She listened to his doctor.	Nakinig siya sa doktor niya.
She listened to his nurse.	Nakinig siya sa nurse niya.
She listened to our doctor.	Nakinig siya sa doktor niya.
She listened to our nurse.	Nakinig siya sa nurse niya.
She listened to the dentist.	Nakinig siya sa dentista.
She listened to the doctor.	Nakinig siya sa doktor.
She listened to the nurse.	Nakinig siya sa nurse niya.
She listened to their dentist.	Nakinig siya sa dentista niya.
She listened to their doctor.	Nakinig siya sa doktor niya.
She listened to their nurse.	Nakinig siya sa nurse niya.
She looked for a bandage.	Naghanap siya ng bendahe.
She looked for a prescription.	Naghanap siya ng reseta.
She looked for a specialist.	Naghanap siya ng ispesyalista.
She looked for a syringe.	Naghanap siya ng hiringgilya.
She looked for an ambulance.	Naghanap siya ng ambulansya.
She looked for medicine.	Hinanap nila yung gamot.
She looked for the dentists.	Hinanap niya ang mga dentista.
She looked for the doctor.	Hinanap niya ang doktor.
She looked for the doctor.	Hinanap nila yung doktor.
She looked for the doctors.	Hinanap niya ang mga doktor.
She looked for the nurse.	Hinanap niya ang nurse.
She looked for the nurse.	Hinanap nila yung nurse.
She looked for the nurses.	Hinanap niya ang mga nurse.
She looked for treatment.	Naghanap siya ng paggamot.
She loves the mountains.	Mahilig siya sa kabundukan.
She met him only recently.	Nakilala niya siya kamakailan lang.
She met him this morning.	Nagtagpo sila ngayong umaga.
She needs a longer life.	Kailangan niya ng mas mahabang buhay.
She needs a new dentist.	Kailangan niya ng bagong dentista.
She needs a new doctor.	Kailangan niya ng bagong doktor.
She needs a new nurse.	Kailangan niya ng bagong nurse.
She needs a prescription.	Kailangan niyang maresetahan.
She needs a transplant.	Kailangan niya ng transplant.
She needs cold water.	Kailagan niya ng malamig na tubig.
She needs health insurance.	Mayroon siyang health insurance.
She needs more medicine.	Kailangan pa niya ng gamot.
She needs to be examined.	Kailangan niyang matingnan.
She needs to drink medicine.	Kailangan niyang uminom ng gamot.
She needs to go to the ER.	Kailangan niyang pumunta sa ER.
She needs treatment.	Kailangan niya ng paggamot.
She now has good posture.	Maayos na ang postura niya.
She often eats there.	Lagi siyang kumakain diyan.
She only eats fish.	Isda lamang ang kinakain niya.
She performed last April 2.	Nagtanghal siya noong Abril 2.
She played basketball.	Naglaro siya ng basketball.
She plays basketball.	Naglalaro siya ng basketball.
She praised the dentist.	Pinagpuri nila yung dentista.
She praised the doctor.	Pinagpuri nila yung doktor.
She praised the nurse.	Pinagpuri nila yung nurse.
She praised the surgeon.	Pinagpuri nila yung siruhano.
She prepared for the exam.	Naghanda siya para sa pagsusulit.
She punched me on the nose.	Sinuntok niya ako sa ilong.
She put it in the bag.	Nilagay niya ito sa bag.
She put it inside the bag.	Nilagay niya ito sa loob ng bag.
She questioned the dentist.	Tinanong nila yung dentista.
She questioned the doctor.	Tinanong nila yung doktor.
She questioned the hospital.	Tinanong nila yung ospital.
She questioned the nurse.	Tinanong nila yung nurse.
She questioned the surgeon.	Tinanong nila yung siruhano.
She raised a big baby.	Nagpaanak siya ng malaking sanggol.
She raised a loud baby.	Nagpaanak siya ng maingay na sanggol.
She raised a small baby.	Nagpaanak siya ng maliit na sanggol.
She raised her hand.	Nagtaas siya ng kanyang kamay.
She raises her hand.	Nagtataas siya ng kanyang kamay.
She ran away when she was 13.	Tumakas siya noong 13 siya.
She ran last April 14.	Tumakbo siya noong Abril 14.
She ran last April 6.	Tumakbo siya noong Abril 6.
She read her diagnosis.	Binasa nila yung diyagnosis niya.
She read his diagnosis.	Binasa nila yung diyagnosis niya.
She read one poem to him.	Binasa niya ang isang tula sa kanya.
She received a scholarship.	Nakatanggap siya ng iskolarship.
She recognized him immediately.	Nakilala niya siya agad-agad.
She requires an examination.	Kailangan niyang matingnan.
She said it was fine for her.	Sabi niya ayos lang sa kanya.
She said something about you.	May sinabi siya tungkol sa iyo.
She sang last April 21.	Kumanta siya noong Abril 21.
She saved her life.	Iniligtas niya ang kanyang buhay.
She saved his life.	Iniligtas niya ang kanyang buhay.
She saved our lives.	Iniligtas niya ang kanyang buhay.
She saved their lives.	Iniligtas niya ang kanyang buhay.
She searched for a clinic.	Naghanap siya ng klinik.
She searched for a hospital.	Naghanap siya ng ospital.
She searched for clinics.	Naghanap siya ng mga klinik.
She searched for dentists.	Naghanap siya ng mga dentista.
She searched for hospitals.	Naghanap siya ng mga ospital.
She seldom goes out.	Minsan lang siya lumalabas.
She sent her downstairs.	Pinapunta siya sa baba.
She sent him downstairs.	Pinapunta siya sa baba.
She shakes her head.	Iniling niya ang kanyang ulo.
She should be examined.	Kailangan niyang matingnan.
She should do even better.	Kailangan niya pang mas galingan.
She should not have done that.	Hindi niya dapat ginawa iyon.
She should not have joined.	Hindi na dapat siya sumama.
She should start pushing.	Mag-umpisa na dapat siyang umire.
She should stop smoking.	Dapat tumigil siya sa paninigarilyo.
She showed him the photo.	Pinakita niya sa kanya ang larawan.
She sleeps in her room.	Natutulog siya sa kwarto niya.
She sleeps in his room.	Natutulog siya sa kwarto niya.
She sleeps in our room.	Natutulog siya sa kwarto natin.
She sleeps in their room.	Natutulog siya sa kwarto nila.
She sleeps on the couch.	Natutulog siya sa sopa.
She slept all day.	Natulog lang siya buong araw.
She slept in his room.	Natulog siya sa kwarto niya.
She slept in our room.	Natulog siya sa kwarto natin.
She slept in that room.	Natulog siya sa kwarto na yan.
She slept in the hospital.	Natulog siya sa ospital.
She slept in their room.	Natulog siya sa kwarto nila.
